"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/11/2019","2,45","2,50","2,04","2,45","2,51","819,13K"
"28/11/2019","2,44","2,45","0,41","2,44","2,46","431,68K"
"27/11/2019","2,45","2,44","-0,41","2,43","2,45","474,71K"
"26/11/2019","2,47","2,45","-0,81","2,43","2,48","794,83K"
"25/11/2019","2,43","2,47","1,65","2,42","2,47","944,36K"
"22/11/2019","2,43","2,43","0,00","2,41","2,44","997,22K"
"21/11/2019","2,40","2,43","1,25","2,39","2,43","1,15M"
"19/11/2019","2,40","2,40","0,42","2,39","2,41","336,03K"
"18/11/2019","2,40","2,39","0,00","2,39","2,41","664,10K"
"14/11/2019","2,35","2,39","1,70","2,35","2,40","1,00M"
"13/11/2019","2,36","2,35","0,00","2,34","2,36","555,73K"
"12/11/2019","2,36","2,35","-0,84","2,34","2,37","1,21M"
"11/11/2019","2,35","2,37","1,29","2,33","2,37","1,03M"
"08/11/2019","2,39","2,34","-2,05","2,34","2,39","2,39M"
"07/11/2019","2,36","2,39","1,67","2,35","2,39","1,01M"
"06/11/2019","2,33","2,35","2,56","2,33","2,38","2,13M"
"05/11/2019","2,30","2,29","-0,43","2,28","2,30","900,30K"
"04/11/2019","2,27","2,30","1,29","2,26","2,30","978,63K"
"01/11/2019","2,26","2,27","0,43","2,25","2,27","476,43K"
"31/10/2019","2,25","2,26","0,44","2,25","2,27","901,61K"
"30/10/2019","2,24","2,25","0,44","2,23","2,26","556,15K"
"29/10/2019","2,27","2,24","-1,29","2,24","2,27","1,34M"
"28/10/2019","2,25","2,27","0,87","2,25","2,27","419,88K"
"25/10/2019","2,27","2,25","-0,43","2,25","2,27","412,90K"
"24/10/2019","2,28","2,26","0,00","2,25","2,28","720,02K"
"23/10/2019","2,29","2,26","-0,86","2,26","2,29","837,34K"
"22/10/2019","2,27","2,28","0,87","2,26","2,29","361,83K"
"21/10/2019","2,25","2,26","0,00","2,24","2,27","542,68K"
"18/10/2019","2,26","2,26","0,00","2,25","2,27","327,80K"
"17/10/2019","2,24","2,26","0,87","2,23","2,26","523,39K"
"16/10/2019","2,25","2,24","0,00","2,22","2,29","1,88M"
"15/10/2019","2,29","2,24","-1,72","2,24","2,29","1,27M"
"14/10/2019","2,30","2,28","-0,43","2,28","2,31","593,08K"
"11/10/2019","2,28","2,29","0,86","2,27","2,30","506,37K"
"10/10/2019","2,28","2,27","0,00","2,26","2,29","335,28K"
"09/10/2019","2,27","2,27","0,43","2,25","2,28","717,76K"
"08/10/2019","2,33","2,26","-2,53","2,25","2,33","1,06M"
"07/10/2019","2,35","2,32","-1,25","2,30","2,35","717,52K"
"04/10/2019","2,34","2,35","0,84","2,32","2,36","262,07K"
"03/10/2019","2,33","2,33","0,00","2,30","2,35","466,23K"
"02/10/2019","2,33","2,33","-0,42","2,32","2,36","669,26K"
"01/10/2019","2,34","2,34","0,00","2,33","2,36","533,29K"
"30/09/2019","2,32","2,34","0,42","2,31","2,35","337,95K"
"27/09/2019","2,33","2,33","0,42","2,31","2,33","306,08K"
"26/09/2019","2,34","2,32","-0,84","2,32","2,34","468,01K"
"25/09/2019","2,34","2,34","0,42","2,32","2,34","363,24K"
"24/09/2019","2,33","2,33","-0,83","2,32","2,35","916,68K"
"23/09/2019","2,35","2,35","-0,42","2,32","2,35","1,62M"
"20/09/2019","2,36","2,36","0,42","2,32","2,36","330,22K"
"19/09/2019","2,35","2,35","0,42","2,33","2,36","472,90K"
